
987, 1, 
987, 900@DX!teta: 1, 15, 15, vtx:, 10, 90, 
sigma: , 9, 
[], 
------------------------------, 
****************************************, 
80, 0.003132, of, 891, records,   speed:, 3.9e-05, 
100, 0.003115, of, 911, records,   speed:, 3.1e-05, 
120, 0.003039, of, 819, records,   speed:, 2.5e-05, 
140, 0.00327, of, 9789, records,   speed:, 2.3e-05, 
AVG error:, 0.0006471, of , 15021, records, 
AVGerrorSpeed:, 5.7e-06, of , 15021, records, 
AVGabsErr:, 0.0032368, of , 15021, records speed, 
AVGabsErrSpeed:, 3.85e-05, of , 15021, records speed, 
****************************************************************************************************, 
987, 1, 
alfa:, 987, postAlfa:, 0.9995, minutes count, last, next:, 10130, 20, 5, zeta:, 13, kappa, 993, 
sigma: , 9, 
[], 
------------------------------, 
****************************************, 
20, 0.000683, of, 8146, records,   speed:, 3.4e-05, 
40, 0.001629, of, 3627, records,   speed:, 4.1e-05, 
60, 0.002686, of, 1193, records,   speed:, 4.5e-05, 
80, 0.003905, of, 327, records,   speed:, 4.9e-05, 
100, 0.005339, of, 155, records,   speed:, 5.3e-05, 
120, 0.003521, of, 122, records,   speed:, 2.9e-05, 
140, 0.007199, of, 30, records,   speed:, 5.1e-05, 
180, 0.004774, of, 114, records,   speed:, 2.7e-05, 
20, 0.002736, of, 8146, records,   speed:, 0.000137, 
40, 0.002825, of, 3627, records,   speed:, 7.1e-05, 
60, 0.003501, of, 1193, records,   speed:, 5.8e-05, 
80, 0.00488, of, 327, records,   speed:, 6.1e-05, 
100, 0.005986, of, 155, records,   speed:, 6e-05, 
120, 0.004885, of, 122, records,   speed:, 4.1e-05, 
140, 0.007868, of, 30, records,   speed:, 5.6e-05, 
180, 0.004994, of, 114, records,   speed:, 2.8e-05, 
AVG error:, 0.0013102, of , 13714, records, 
AVGerrorSpeed:, 3.73e-05, of , 13714, records, 
AVGabsErr:, 0.0029632, of , 13714, records speed, 
AVGabsErrSpeed:, 0.0001079, of , 13714, records speed, 
****************************************************************************************************, 
 , 
987, 1, 
alfa:, 987, postAlfa:, 0.9995, minutes count, last, next:, 10130, 20, 7.5, zeta:, 13, kappa, 993, 
sigma: , 9, 
[], 
------------------------------, 
****************************************, 
20, 0.000683, of, 8740, records,   speed:, 3.4e-05, 
40, 0.00164, of, 3862, records,   speed:, 4.1e-05, 
60, 0.002966, of, 1268, records,   speed:, 4.9e-05, 
80, 0.004199, of, 336, records,   speed:, 5.2e-05, 
100, 0.005321, of, 168, records,   speed:, 5.3e-05, 
120, 0.003529, of, 129, records,   speed:, 2.9e-05, 
140, 0.007133, of, 35, records,   speed:, 5.1e-05, 
180, 0.00503, of, 114, records,   speed:, 2.8e-05, 
20, 0.002859, of, 8740, records,   speed:, 0.000143, 
40, 0.002952, of, 3862, records,   speed:, 7.4e-05, 
60, 0.003801, of, 1268, records,   speed:, 6.3e-05, 
80, 0.005226, of, 336, records,   speed:, 6.5e-05, 
100, 0.005946, of, 168, records,   speed:, 5.9e-05, 
120, 0.004701, of, 129, records,   speed:, 3.9e-05, 
140, 0.007747, of, 35, records,   speed:, 5.5e-05, 
180, 0.005346, of, 114, records,   speed:, 3e-05, 
AVG error:, 0.0013411, of , 14652, records, 
AVGerrorSpeed:, 3.79e-05, of , 14652, records, 
AVGabsErr:, 0.0031021, of , 14652, records speed, 
AVGabsErrSpeed:, 0.0001131, of , 14652, records speed, 
****************************************************************************************************, 
 , 
987, 1, 
alfa:, 987, postAlfa:, 0.9995, minutes count, last, next:, 10130, 20, 10, zeta:, 13, kappa, 993, 
sigma: , 9, 
[], 
------------------------------, 
****************************************, 
20, 0.000709, of, 8973, records,   speed:, 3.5e-05, 
40, 0.001627, of, 3962, records,   speed:, 4.1e-05, 
60, 0.003158, of, 1291, records,   speed:, 5.3e-05, 
80, 0.004456, of, 343, records,   speed:, 5.6e-05, 
100, 0.005639, of, 170, records,   speed:, 5.6e-05, 
120, 0.003516, of, 132, records,   speed:, 2.9e-05, 
140, 0.007881, of, 36, records,   speed:, 5.6e-05, 
180, 0.005208, of, 114, records,   speed:, 2.9e-05, 
20, 0.002995, of, 8973, records,   speed:, 0.00015, 
40, 0.003038, of, 3962, records,   speed:, 7.6e-05, 
60, 0.004054, of, 1291, records,   speed:, 6.8e-05, 
80, 0.005441, of, 343, records,   speed:, 6.8e-05, 
100, 0.006243, of, 170, records,   speed:, 6.2e-05, 
120, 0.004663, of, 132, records,   speed:, 3.9e-05, 
140, 0.008448, of, 36, records,   speed:, 6e-05, 
180, 0.005465, of, 114, records,   speed:, 3e-05, 
AVG error:, 0.0013793, of , 15021, records, 
AVGerrorSpeed:, 3.9e-05, of , 15021, records, 
AVGabsErr:, 0.0032368, of , 15021, records speed, 
AVGabsErrSpeed:, 0.0001183, of , 15021, records speed, 
****************************************************************************************************, 
 , 
987, 1, 
alfa:, 987, postAlfa:, 0.9995, minutes count, last, next:, 10130, 20, 12.5, zeta:, 13, kappa, 993, 
sigma: , 9, 
[], 
------------------------------, 
****************************************, 
20, 0.000741, of, 9073, records,   speed:, 3.7e-05, 
40, 0.00156, of, 4009, records,   speed:, 3.9e-05, 
60, 0.003219, of, 1301, records,   speed:, 5.4e-05, 
80, 0.004836, of, 344, records,   speed:, 6e-05, 
100, 0.005948, of, 170, records,   speed:, 5.9e-05, 
120, 0.00359, of, 132, records,   speed:, 3e-05, 
140, 0.00747, of, 36, records,   speed:, 5.3e-05, 
180, 0.005226, of, 114, records,   speed:, 2.9e-05, 
20, 0.003137, of, 9073, records,   speed:, 0.000157, 
40, 0.00311, of, 4009, records,   speed:, 7.8e-05, 
60, 0.004143, of, 1301, records,   speed:, 6.9e-05, 
80, 0.005835, of, 344, records,   speed:, 7.3e-05, 
100, 0.006527, of, 170, records,   speed:, 6.5e-05, 
120, 0.004713, of, 132, records,   speed:, 3.9e-05, 
140, 0.00803, of, 36, records,   speed:, 5.7e-05, 
180, 0.005531, of, 114, records,   speed:, 3.1e-05, 
AVG error:, 0.0013953, of , 15179, records, 
AVGerrorSpeed:, 3.97e-05, of , 15179, records, 
AVGabsErr:, 0.0033588, of , 15179, records speed, 
AVGabsErrSpeed:, 0.0001233, of , 15179, records speed, 
****************************************************************************************************, 
 , 
987, 1, 
alfa:, 987, postAlfa:, 0.9995, minutes count, last, next:, 10130, 20, 15, zeta:, 13, kappa, 993, 
sigma: , 9, 
[], 
------------------------------, 
****************************************, 
20, 0.000745, of, 9095, records,   speed:, 3.7e-05, 
40, 0.001543, of, 4035, records,   speed:, 3.9e-05, 
60, 0.003273, of, 1302, records,   speed:, 5.5e-05, 
80, 0.005032, of, 344, records,   speed:, 6.3e-05, 
100, 0.006273, of, 170, records,   speed:, 6.3e-05, 
120, 0.003837, of, 132, records,   speed:, 3.2e-05, 
140, 0.00721, of, 36, records,   speed:, 5.2e-05, 
180, 0.00546, of, 114, records,   speed:, 3e-05, 
20, 0.003281, of, 9095, records,   speed:, 0.000164, 
40, 0.003194, of, 4035, records,   speed:, 8e-05, 
60, 0.004239, of, 1302, records,   speed:, 7.1e-05, 
80, 0.006038, of, 344, records,   speed:, 7.5e-05, 
100, 0.006804, of, 170, records,   speed:, 6.8e-05, 
120, 0.004876, of, 132, records,   speed:, 4.1e-05, 
140, 0.007763, of, 36, records,   speed:, 5.5e-05, 
180, 0.005832, of, 114, records,   speed:, 3.2e-05, 
AVG error:, 0.0014087, of , 15228, records, 
AVGerrorSpeed:, 3.99e-05, of , 15228, records, 
AVGabsErr:, 0.003485, of , 15228, records speed, 
AVGabsErrSpeed:, 0.0001284, of , 15228, records speed, 
****************************************************************************************************, 
 , 
987, 1, 
alfa:, 987, postAlfa:, 0.9995, minutes count, last, next:, 10130, 20, 5, zeta:, 15, kappa, 993, 
sigma: , 9, 
[], 
------------------------------, 
****************************************, 
20, 0.000493, of, 6445, records,   speed:, 2.5e-05, 
40, 0.001289, of, 4151, records,   speed:, 3.2e-05, 
