0.98, 900@DX!teta: 0.0, 15, 3, vtx:, 10, 90, 
sigma: , 9, 
[], 
------------------------------, 
****************************************, 
-10, -0.00095, of, 100, records,   speed:, -9.5e-05, 
-9, -0.001653, of, 95, records,   speed:, -0.000184, 
-8, -0.001594, of, 126, records,   speed:, -0.000199, 
-7, -0.001112, of, 156, records,   speed:, -0.000159, 
-6, -0.001517, of, 200, records,   speed:, -0.000253, 
-5, -0.001179, of, 244, records,   speed:, -0.000236, 
-4, -0.001119, of, 316, records,   speed:, -0.00028, 
-3, -0.00074, of, 346, records,   speed:, -0.000247, 
-2, -0.000496, of, 370, records,   speed:, -0.000248, 
-1, -0.000118, of, 611, records,   speed:, -0.000118, 
1, 0.000191, of, 637, records,   speed:, 0.000191, 
2, 0.000542, of, 338, records,   speed:, 0.000271, 
3, 0.000482, of, 326, records,   speed:, 0.000161, 
4, 0.000961, of, 290, records,   speed:, 0.00024, 
5, 0.001356, of, 229, records,   speed:, 0.000271, 
6, 0.001235, of, 173, records,   speed:, 0.000206, 
7, 0.00102, of, 147, records,   speed:, 0.000146, 
8, 0.00163, of, 113, records,   speed:, 0.000204, 
9, 0.001752, of, 109, records,   speed:, 0.000195, 
10, 0.001386, of, 75, records,   speed:, 0.000139, 
11, 0.001369, of, 58, records,   speed:, 0.000124, 
12, 0.002145, of, 50, records,   speed:, 0.000179, 
13, 0.001813, of, 49, records,   speed:, 0.000139, 
14, 0.001871, of, 34, records,   speed:, 0.000134, 
15, 0.001498, of, 32, records,   speed:, 0.0001, 
16, 0.002313, of, 17, records,   speed:, 0.000145, 
17, 0.000945, of, 21, records,   speed:, 5.6e-05, 
18, 0.001768, of, 24, records,   speed:, 9.8e-05, 
19, 0.000353, of, 18, records,   speed:, 1.9e-05, 
20, 0.00087, of, 13, records,   speed:, 4.3e-05, 
-20, 0.002535, of, 19, records,   speed:, 0.000127, 
-19, 0.002665, of, 8, records,   speed:, 0.00014, 
-18, 0.002632, of, 13, records,   speed:, 0.000146, 
-17, 0.002926, of, 16, records,   speed:, 0.000172, 
-16, 0.002058, of, 24, records,   speed:, 0.000129, 
-15, 0.002007, of, 40, records,   speed:, 0.000134, 
-14, 0.002008, of, 39, records,   speed:, 0.000143, 
-13, 0.002144, of, 33, records,   speed:, 0.000165, 
-12, 0.001956, of, 51, records,   speed:, 0.000163, 
-11, 0.002765, of, 68, records,   speed:, 0.000251, 
-10, 0.002259, of, 100, records,   speed:, 0.000226, 
-9, 0.002477, of, 95, records,   speed:, 0.000275, 
-8, 0.002558, of, 126, records,   speed:, 0.00032, 
-7, 0.002183, of, 156, records,   speed:, 0.000312, 
-6, 0.00229, of, 200, records,   speed:, 0.000382, 
-5, 0.00242, of, 244, records,   speed:, 0.000484, 
-4, 0.00248, of, 316, records,   speed:, 0.00062, 
-3, 0.002204, of, 346, records,   speed:, 0.000735, 
-2, 0.002094, of, 370, records,   speed:, 0.001047, 
-1, 0.00254, of, 611, records,   speed:, 0.00254, 
1, 0.002469, of, 637, records,   speed:, 0.002469, 
2, 0.002429, of, 338, records,   speed:, 0.001215, 
3, 0.002282, of, 326, records,   speed:, 0.000761, 
4, 0.002457, of, 290, records,   speed:, 0.000614, 
5, 0.002655, of, 229, records,   speed:, 0.000531, 
6, 0.002499, of, 173, records,   speed:, 0.000417, 
7, 0.002618, of, 147, records,   speed:, 0.000374, 
8, 0.002864, of, 113, records,   speed:, 0.000358, 
9, 0.002813, of, 109, records,   speed:, 0.000313, 
10, 0.002268, of, 75, records,   speed:, 0.000227, 
11, 0.002278, of, 58, records,   speed:, 0.000207, 
12, 0.002677, of, 50, records,   speed:, 0.000223, 
13, 0.003228, of, 49, records,   speed:, 0.000248, 
14, 0.002692, of, 34, records,   speed:, 0.000192, 
15, 0.00249, of, 32, records,   speed:, 0.000166, 
16, 0.003724, of, 17, records,   speed:, 0.000233, 
17, 0.001887, of, 21, records,   speed:, 0.000111, 
18, 0.002876, of, 24, records,   speed:, 0.00016, 
19, 0.001329, of, 18, records,   speed:, 7e-05, 
20, 0.001584, of, 13, records,   speed:, 7.9e-05, 
AVG error:, -7e-07, of , 5923, records, 
AVGerrorSpeed:, -3e-07, of , 5923, records, 
AVGabsErr:, 0.0024224, of , 5923, records speed, 
AVGabsErrSpeed:, 0.0009466, of , 5923, records speed, 
****************************************************************************************************, 
 , 
