0.98, 1000@20, 15, 2, vtx:, 10, 90, 
sigma: , 9, 
[], 
------------------------------, 
****************************************, 
-8, -0.001906, of, 83, records,   speed:, -0.000238, 
-7, -0.001324, of, 96, records,   speed:, -0.000189, 
-6, -0.001367, of, 141, records,   speed:, -0.000228, 
-5, -0.001645, of, 176, records,   speed:, -0.000329, 
-4, -0.001225, of, 222, records,   speed:, -0.000306, 
-3, -0.001179, of, 276, records,   speed:, -0.000393, 
-2, -0.000923, of, 329, records,   speed:, -0.000461, 
-1, -0.00056, of, 599, records,   speed:, -0.00056, 
1, 0.000112, of, 592, records,   speed:, 0.000112, 
2, 0.00058, of, 301, records,   speed:, 0.00029, 
3, 0.001106, of, 265, records,   speed:, 0.000369, 
4, 0.001167, of, 195, records,   speed:, 0.000292, 
5, 0.001642, of, 132, records,   speed:, 0.000328, 
6, 0.001869, of, 103, records,   speed:, 0.000311, 
7, 0.001564, of, 78, records,   speed:, 0.000223, 
8, 0.001266, of, 63, records,   speed:, 0.000158, 
9, 0.00259, of, 40, records,   speed:, 0.000288, 
10, 0.001547, of, 38, records,   speed:, 0.000155, 
11, 0.001589, of, 29, records,   speed:, 0.000144, 
12, 0.002753, of, 26, records,   speed:, 0.000229, 
13, 0.001748, of, 23, records,   speed:, 0.000134, 
14, 0.003166, of, 9, records,   speed:, 0.000226, 
15, 0.001937, of, 20, records,   speed:, 0.000129, 
16, 0.001283, of, 14, records,   speed:, 8e-05, 
17, -3.6e-05, of, 4, records,   speed:, -2e-06, 
18, 0.002006, of, 6, records,   speed:, 0.000111, 
19, 0.001214, of, 5, records,   speed:, 6.4e-05, 
20, 0.002554, of, 4, records,   speed:, 0.000128, 
-20, 0.001051, of, 2, records,   speed:, 5.3e-05, 
-19, 0.000958, of, 6, records,   speed:, 5e-05, 
-18, 0.001982, of, 12, records,   speed:, 0.00011, 
-17, 0.001482, of, 9, records,   speed:, 8.7e-05, 
-16, 0.003513, of, 10, records,   speed:, 0.00022, 
-15, 0.003016, of, 11, records,   speed:, 0.000201, 
-14, 0.002854, of, 16, records,   speed:, 0.000204, 
-13, 0.001768, of, 30, records,   speed:, 0.000136, 
-12, 0.002736, of, 17, records,   speed:, 0.000228, 
-11, 0.002151, of, 29, records,   speed:, 0.000196, 
-10, 0.001972, of, 39, records,   speed:, 0.000197, 
-9, 0.002419, of, 48, records,   speed:, 0.000269, 
-8, 0.002701, of, 83, records,   speed:, 0.000338, 
-7, 0.001938, of, 96, records,   speed:, 0.000277, 
-6, 0.002112, of, 141, records,   speed:, 0.000352, 
-5, 0.002536, of, 176, records,   speed:, 0.000507, 
-4, 0.00226, of, 222, records,   speed:, 0.000565, 
-3, 0.0024, of, 276, records,   speed:, 0.0008, 
-2, 0.002325, of, 329, records,   speed:, 0.001162, 
-1, 0.002323, of, 599, records,   speed:, 0.002323, 
1, 0.002277, of, 592, records,   speed:, 0.002277, 
2, 0.002271, of, 301, records,   speed:, 0.001136, 
3, 0.002592, of, 265, records,   speed:, 0.000864, 
4, 0.002403, of, 195, records,   speed:, 0.000601, 
5, 0.00253, of, 132, records,   speed:, 0.000506, 
6, 0.002823, of, 103, records,   speed:, 0.000471, 
7, 0.002455, of, 78, records,   speed:, 0.000351, 
8, 0.002953, of, 63, records,   speed:, 0.000369, 
9, 0.003459, of, 40, records,   speed:, 0.000384, 
10, 0.002753, of, 38, records,   speed:, 0.000275, 
11, 0.00217, of, 29, records,   speed:, 0.000197, 
12, 0.003409, of, 26, records,   speed:, 0.000284, 
13, 0.002231, of, 23, records,   speed:, 0.000172, 
14, 0.003183, of, 9, records,   speed:, 0.000227, 
